threshold,precision,recall,f1,accuracy,youden,tn,fp,fn,tp
0.05,0.9993727458052376,0.27723762914627514,0.4340615368897819,0.33526,0.2752500515065236,4017,8,33229,12746
0.1,0.9996597482136781,0.25561718325176724,0.4071296184025914,0.31546,0.25462339443189147,4021,4,34223,11752
0.15,0.9999106424805647,0.2433931484502447,0.39149144596438445,0.30428,0.24314470124527576,4024,1,34785,11190
0.2,1.0,0.23186514410005438,0.37644566081045294,0.2937,0.23186514410005438,4025,0,35315,10660
0.25,1.0,0.2221642196846112,0.3635587036608589,0.28478,0.2221642196846112,4025,0,35761,10214
0.3,1.0,0.20996193583469278,0.3470554397066226,0.27356,0.20996193583469278,4025,0,36322,9653
0.35,1.0,0.19917346383904297,0.332184575201335,0.26364,0.19917346383904297,4025,0,36818,9157
0.4,1.0,0.19514953779227842,0.3265692394489235,0.25994,0.19514953779227842,4025,0,37003,8972
0.45,1.0,0.19406199021207177,0.32504508443084323,0.25894,0.19406199021207177,4025,0,37053,8922
0.5,1.0,0.193278955954323,0.32394597254880514,0.25822,0.193278955954323,4025,0,37089,8886
0.55,1.0,0.19245241979336597,0.3227842328949529,0.25746,0.19245241979336597,4025,0,37127,8848
0.6,1.0,0.1916911364872213,0.3217127838212747,0.25676,0.1916911364872213,4025,0,37162,8813
0.65,1.0,0.1909516041326808,0.3206706359352741,0.25608,0.1909516041326808,4025,0,37196,8779
0.7,1.0,0.18997281131049484,0.31928933082308214,0.25518,0.18997281131049484,4025,0,37241,8734
0.75,1.0,0.18631865144100054,0.31411231917273247,0.25182,0.18631865144100054,4025,0,37409,8566
0.8,1.0,0.18320826536160956,0.3096805029596676,0.24896,0.18320826536160956,4025,0,37552,8423
0.85,1.0,0.17942359978249048,0.30425641782236645,0.24548,0.17942359978249048,4025,0,37726,8249
0.9,1.0,0.16826536160957042,0.2880601738936158,0.23522,0.16826536160957042,4025,0,38239,7736
0.95,1.0,0.14932028276237086,0.25984102952308863,0.2178,0.14932028276237086,4025,0,39110,6865
